id, title, releaseYear
1146,Samson and Delilah,1949
1147,Conspirator,1949
1148,She Wore a Yellow Ribbon,1949
1149,The Asphalt Jungle,1950
1150,Gun Crazy,1950
1151,Sunset Boulevard,1950
1152,All About Eve,1950
1153,Born Yesterday,1950
1154,Rio Grande,1950
1155,Quo Vadis,1951
1156,An American in Paris,1951
1157,The Thing From Another World,1951
1158,The Day the Earth Stood Still,1951
1159,A Streetcar Named Desire,1951
1160,The African Queen,1951
1161,Singin' in the Rain,1952
1162,High Noon,1952
1163,The Hitch-hiker,1953
1164,The Robe,1953
1165,The Band Wagon,1953
1166,From Here to Eternity,1953
1167,Roman Holiday,1953
1168,Gentleman Prefer Blondes,1953
1169,How to Marry a Millionarie,1953
1170,A Star is Born,1954
1171,Them!,1954
1172,Gojira,1954
1173,On the Waterfront,1954
1174,Rear Window,1954
1175,To Cathch a Thief,1954
1176,Creature From The Black Lagoon,1954
1177,Tarantula!,1955
1178,Blackboard Jungle,1955
1179,East of Eden,1955
1180,Rebel Without a Cause,1955
1181,The Seven Year Itch,1955
1182,The Ten Commandments,1956
1183,"Godzilla, King of the Monsters!",1956
1184,Invasion of the Body Snatchers,1956
1185,Giant,1956
1186,The Searchers,1956
1187,The Deadly Mantis,1957
1188,A Face in the Crowd,1957
1189,Sweet Smell of Success,1957
1190,The Bridge on the River Kwai,1957
1191,I Married a Monster From Outer Space,1958
1192,Vertigo,1958
1193,Cat On A Hot Tin Roof,1958
1194,The Defiant Ones,1958
1195,Ben-Hur,1959
1196,Some Like It Hot,1959
1197,North By Northwest,1959
1198,Rio Bravo,1959
1199,Pillow Talk,1959
1200,Exodus,1960
1201,Spartacus,1960
1202,The Apartment,1960
1203,Psycho,1960
1204,The Bellboy,1960
1205,The Magnificent Seven,1960
1206,One-Eyed Jacks,1960
1207,Sergeant Rutledge,1960
1208,Breathless,1960
1209,West Side Story,1961
1210,Breakfast at Tiffany's,1961
1211,Splendor in the Grass,1961
1212,Lover Come Back,1961
1213,The Ladies Man,1961
1214,The Errand Boy,1961
1215,El Cid,1961
1216,The Hustler,1961
1217,The Misfits,1961
1218,A Raisin In The Sun,1961
1219,The Longest Day,1962
1220,How The West Was Won,1962
1221,Lawrence Of Arabia,1962
1222,Lolita,1962
1223,Cape Fear,1962
1224,The Manchurian Candidate,1962
1225,That Touch of Mink,1962
1226,Mutiny On The Bounty,1962
1227,Dr. No,1962
1228,Ride The High Country,1962
1229,The Man Who Shot Liberty Valance,1962
1230,To Kill A Mockingbird,1962
1231,The Thrill Of It All,1963
1232,The Pink Panther,1963
1233,The Nutty Professor,1963
1234,Tom Jones,1963
1235,Jason and the Argonauts,1963
1236,Cleopatra,1963
1237,Hud,1963
1238,Charade,1963
1239,The Ugly American,1963
1240,The Great Escape,1963
1241,From Russia With Love,1963
1242,Lilies Of The Field,1963
1243,Send Me No Flowers,1964
1244,The Patsy,1964
1245,Dr. StrangeLove Or: How I Learned to Stop Worrying About the Bomb,1964
1246,The Fall Of The Roman Empire,1964
1247,Becket,1964
1248,My Fair Lady,1964
1249,Mary Poppins,1964
1250,Goldfinger,1964
1251,A Fistful Of Dollars,1964
1252,Cheynne Autumn,1964
1253,The Great Race,1965
1254,The Agony and The Ecstasy,1965
1255,The Greatest Story Ever Told,1965
1256,Doctor Zhivago,1965
1257,The Sound Of Music,1965
1258,The Cincinnati Kid,1965
1259,Thunderball,1965
1260,A Patch Of Blue,1965
1261,The Shooting,1966
1262,"What's Up, Tiger Lily?",1966
1263,"The Russians are Coming, The Russians are Coming",1966
1264,The Sand Pebbles,1966
1265,A Man For All Seasons,1966
1266,Harper,1966
1267,"The Good, The Bad, and The Ugly",1966
1268,Thr Professionals,1966
1269,Who's Afraid of Virgina Woolf?,1966
1270,The Wild Angels,1966
1271,Doctor Dolittle,1967
1272,Barefoot In The Park,1967
1273,The Producers,1967
1274,Cool Hand Luke,1967
1275,Hombre,1967
1276,You Only Live Twice,1967
1277,Guess Who's Coming To Dinner,1967
1278,"To Sir, With Love",1967
1279,In The Heat Of The Night,1967
1280,Bonnie and Clyde,1967
1281,The Graduate,1967
1282,Finian's Rainbow,1968
1283,The Odd Couple,1968
1284,The Lion In Winter,1968
1285,Funny Girl,1968
1286,The Thomas Crown Affair,1968
1287,Bullitt,1968
1288,Once Upon A Time In The West,1968
1289,Night Of The Living Dead,1968
1290,Rosemary's Baby,1968
1291,Planet Of The Apes,1968
1292,2001: A Space Odyssey,1968
1293,Paint Your Wagon,1969
1294,Butch Cassidy and the Sundance Kid,1969
1295,The Wild Bunch,1969
1296,Easy Rider,1969
1297,Putney Swope,1969
1298,Alice's Restaurant,1969
1299,Downhill Racer,1969
1300,Medium Cool,1969
1301,"They Shoot Horses, Don't They?",1969
1302,Midnight Cowboy,1969
1303,True Grit,1969
1304,Patton,1970
1305,Little Big Man,1970
1306,Five Easy Pieces,1970
1307,MAS*H,1970
1308,Husbands,1970
1309,Love Story,1970
1310,The Last Picture Show,1971
1311,Play Misty For Me,1971
1312,The French Connection,1971
1313,Straw Dogs,1971
1314,Dirty Harry,1971
1315,Klute,1971
1316,THX 1138,1971
1317,Bananas,1971
1318,Sweet Sweetback's Baadasssss Song,1971
1319,Shaft,1971
1320,Carnal Knowledge,1971
1321,McCabe & Mrs. Miller,1971
1322,Harold and Maude,1971
1323,Minnie and Moskowitz,1971
1324,A New Leaf,1971
1325,A Clockwork Orange,1971
1326,Willy Wonka & The Chocolate Factory,1971
1327,The Getaway,1972
1328,Deliverance,1972
1329,The Godfather,1972
1330,Boxcar Bertha,1972
